Id_Vehiculo,Id_Usuario,Placa,Color
100,1,5863 WLM,Amarillo
101,2,B 2693 ZE,Blanco
102,3,A 2044 WF,Azul
103,4,9129 WPP,Negro
104,5,3398 WDK,Plateado
105,6,1299 CSF,Negro
106,7,6160 JYW,Negro
107,8,BI 0986 ZC,Plateado
108,9,SS 1042 ZT,Rojo
109,10,0844 ZHS,Plateado
110,11,9225 SMZ,Plateado
111,12,HU 9671 PM,Naranja
112,13,LE 8777 WN,Naranja
113,14,OU 8184 VV,Negro
114,15,2373 HXR,Amarillo
115,16,SO 1395 FG,Gris
116,17,6326 BSH,Café
117,18,M 6308 TW,Verde
118,19,3413 KPB,Naranja
119,20,MU 7076 NJ,Verde
120,21,0411 ZMF,Café
121,22,AL 2711 EY,Rojo
122,23,BU 5422 BF,Plateado
123,24,M 2731 WA,Verde
124,25,2089 FLC,Verde
125,26,CC 7497 YG,Azul
126,27,9516 BPL,Azul
127,28,PM 1969 ZK,Rojo
128,29,SS 8091 YN,Amarillo
129,30,8700 ZRY,Blanco
130,31,OU 5238 LH,Blanco
131,32,CO 2563 IN,Café
132,33,CE 2009 JF,Naranja
133,34,3142 HFC,Verde
134,35,6426 RHZ,Negro
135,36,CO 5727 JN,Rojo
136,37,1083 PFT,Amarillo
137,38,NA 4034 MB,Café
138,39,3310 RYP,Negro
139,40,J 3967 EC,Amarillo
140,41,LU 2951 XC,Negro
141,42,B 8970 GA,Café
142,43,2007 JWG,Blanco
143,44,T 1144 DX,Blanco
144,45,8975 XVX,Amarillo
145,46,SS 3569 KB,Naranja
146,47,CO 8558 NM,Gris
147,48,IB 6284 HH,Gris
148,49,5337 BPK,Gris
149,50,TE 5928 ES,Blanco
150,51,GE 9347 TF,Gris
151,52,TF 5434 BV,Negro
152,53,O 9261 IO,Verde
153,54,8525 MWJ,Gris
154,55,7834 CNT,Azul
155,56,8719 BTZ,Azul
156,57,8149 DDG,Gris
157,58,PO 5656 FE,Naranja
158,59,AB 6458 SV,Gris
159,60,2552 CLY,Plateado
160,61,OU 9855 SB,Verde
161,62,OR 8461 TB,Azul
162,63,0367 PRL,Amarillo
163,64,P 2210 UM,Gris
164,65,CS 8422 FZ,Rojo
